课程名称,1-1,1-2,1-3,2-1,2-2,3-1,3-2,3-3,4-1,4-2,4-3,5-1,5-2,6-1,6-2,7-1,7-2,8-1,8-2
教育见习,M,M,M,M,M,M,M,M,L,H,M,H,H,H,H,M,M,L,L
科技英语,L,L,,,L,L,L,,,,H,,,,L,H,H,M,
自然科学概论,L,L,,,,H,H,M,,,L,,,,L,M,,M,
程序设计与应用,L,L,,,,H,H,M,,M,L,,,,L,M,,,
创新创造能力训练,L,L,,,,H,H,M,,L,L,,,,L,M,,,H
科学前沿专题讲座,L,L,,,,L,L,M,,,,,,,L,H,H,M,
科学技术教育理论与实践,L,L,,,H,H,H,M,,,,,,,L,M,,M,
